transaction_date,category_code,crop_code,crop_name,market_code,market_name,highest_price,median_price,lowest_price,average_price,transaction_volume
2024.08.28,N05,11,椰子,104,台北二,33.4,24.7,18.9,25.2,1134
2024.08.28,N05,31,釋迦,104,台北二,98.2,72.2,53.1,73.6,1648
2024.08.28,N05,469,藍莓-進口,104,台北二,233.3,184.1,166.7,190.5,28
2024.08.28,N05,50,百香果-其他,104,台北二,111.4,99.7,66.6,95.4,864
2024.08.28,N05,51,百香果-改良種,104,台北二,133.6,78.8,52.1,84.4,3416
2024.08.28,N05,72,小番茄-聖女,104,台北二,140.6,117.1,84.5,115.3,1611
2024.08.28,N05,74,小番茄-玉女,104,台北二,375,282.4,218.1,288.1,312
2024.08.28,N05,811,紅龍果-白肉,104,台北二,91,43.5,28.2,49.9,4716
2024.08.28,N05,812,紅龍果-紅肉,104,台北二,97.8,52.1,27.2,56.3,7039
2024.08.28,N05,813,紅龍果-雙色紅龍果,104,台北二,35,35,35,35,10
2024.08.28,N05,839,櫻桃-進口,104,台北二,133.3,133.3,133.3,133.3,720
2024.08.28,N05,859,榴槤-進口,104,台北二,133.3,133.3,133.3,133.3,750
2024.08.28,N05,86,山竹,104,台北二,50,50,50,50,8
2024.08.28,N05,87,紅毛丹,104,台北二,130,130,130,130,25
2024.08.28,N05,91,其他,104,台北二,80,67.2,45.4,65.4,179
2024.08.28,N05,A0,香蕉-其他,104,台北二,20,20,20,20,16
2024.08.28,N05,A1,香蕉,104,台北二,71.7,50.7,42.6,53.3,5204
2024.08.28,N05,A2,香蕉-芭蕉紅芭蕉,104,台北二,68.3,46.1,30.9,47.5,2000
2024.08.28,N05,A4,香蕉-越旦,104,台北二,61.7,49,17.4,45.2,162
2024.08.28,N05,B2,鳳梨-金鑽鳳梨,104,台北二,59.2,51.8,27.8,48.5,2456
2024.08.28,N05,B7,鳳梨-牛奶鳳梨,104,台北二,42.1,36.8,20.8,34.7,2059
2024.08.28,N05,C9,柑橘-進口,104,台北二,97.7,66.7,65.3,72.6,2080
2024.08.28,N05,E9,甜橙-進口,104,台北二,56,42.3,31.6,42.9,3396
2024.08.28,N05,F0,雜柑-其他,104,台北二,28,28,28,28,13
2024.08.28,N05,F1,雜柑-檸檬,104,台北二,43.1,28.8,16.6,29.2,735
2024.08.28,N05,F4,雜柑-桔子,104,台北二,57.4,48.1,36.7,47.7,245
2024.08.28,N05,F5,雜柑-無子檸檬,104,台北二,42.5,25,11.7,25.8,3141
2024.08.28,N05,F6,雜柑-黃金檸檬,104,台北二,25,22.1,13.6,21,360
2024.08.28,N04,FA1,黃秋葵,104,台北二,92.7,56.2,31.5,58.6,1637
2024.08.28,N04,FB1,花椰菜-青梗,104,台北二,160,140.4,110,138.3,138
2024.08.28,N04,FC1,胡瓜-黑刺,104,台北二,46.5,27.3,11.4,28,6959
2024.08.28,N04,FD0,花胡瓜-其他,104,台北二,165.4,77.1,60,91.3,384
2024.08.28,N04,FD1,花胡瓜,104,台北二,76.8,54.3,27.2,53.4,12247
2024.08.28,N04,FE0,冬瓜-其他,104,台北二,37,37,37,37,40
2024.08.28,N04,FE1,冬瓜-白皮,104,台北二,28.2,21.6,15.8,21.8,3103
2024.08.28,N04,FF0,絲瓜-其他,104,台北二,34.9,27.8,21.8,28,1224
2024.08.28,N04,FF1,絲瓜,104,台北二,44,30.1,20.6,31,10505
2024.08.28,N04,FF2,絲瓜-角瓜,104,台北二,45,40,35,40,118
2024.08.28,N04,FF4,絲瓜-長絲瓜,104,台北二,34,23.6,15,24,64
2024.08.28,N04,FG0,苦瓜-其他,104,台北二,71.3,57.6,34.9,55.8,1368
2024.08.28,N04,FG1,苦瓜-白大米,104,台北二,103.6,77.5,44.3,76.1,2599
2024.08.28,N04,FG2,苦瓜-青大米,104,台北二,50,50,50,50,30
2024.08.28,N04,FG3,苦瓜-山苦瓜,104,台北二,130,110,90,110,28
2024.08.28,N04,FG4,苦瓜-翠綠,104,台北二,62.7,50.9,36,50.3,621
2024.08.28,N04,FH1,扁蒲-長形,104,台北二,12,12,12,12,20
2024.08.28,N04,FH3,扁蒲-花蒲,104,台北二,48.3,32,20.2,32.9,1468
2024.08.28,N04,FH4,扁蒲-梨子蒲,104,台北二,51.8,30,19.5,32.3,2072
2024.08.28,N04,FI0,茄子-其他,104,台北二,60,54.6,50,54.8,42
2024.08.28,N04,FI2,茄子-麻荸茄,104,台北二,98.4,66.9,47.2,69.3,3609
2024.08.28,N04,FI3,茄子-日本種,104,台北二,30,30,30,30,20
2024.08.28,N04,FJ3,番茄-牛番茄,104,台北二,106.3,74.9,35,73.2,9362
2024.08.28,N04,FK4,甜椒-彩色種,104,台北二,105.7,61.6,31.3,64.3,700
2024.08.28,N04,FK5,甜椒-青椒,104,台北二,84.4,67.9,51,67.8,1953
2024.08.28,N04,FK6,甜椒-水果彩椒,104,台北二,155.5,96.1,55.3,99.8,698
